,code,Detailed List Numbers,Cause
0,1000,,All causes
1,1001,A00-B99,Certain infectious and parasitic diseases
2,1002,A00,Cholera
3,1003,A09,Diarrhoea and gastroenteritis of presumed infectious origin
4,1004,A01-A08,Other intestinal infectious diseases
5,1005,A15-A16,Respiratory tuberculosis
6,1006,A17-A19,Other tuberculosis
7,1007,A20,Plague
8,1008,A33-A35,Tetanus
9,1009,A36,Diphtheria
10,1010,A37,Whooping cough
11,1011,A39,Meningococcal infection
12,1012,A40-A41,Septicaemia
13,1013,A50-A64,Infections with a predominantly sexual mode of transmission
14,1014,A80,Acute poliomyelitis
15,1015,A82,Rabies
16,1016,A95,Yellow fever
17,1017,"A90-A94, A96-A99",Other arthropod-borne viral fevers and viral haemorrhagic fevers
18,1018,B05,Measles
19,1019,B15-B19,Viral hepatitis
20,1020,B20-B24,Human immunodeficiency virus [HIV] disease
21,1021,B50-B54,Malaria
22,1022,B55,Leishmaniasis
23,1023,B56-B57,Trypanosomiasis
24,1024,B65,Schistosomiasis
25,1025,"A21-A32, A38, A42-A49, A65-A79, A81, A83-A89, B00-B04, B06-B09, B25-B49, B58-B64, B66-B94, B99",Remainder of certain infectious and parasitic diseases
26,1026,C00-D48,Neoplasms
27,1027,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx"
28,1028,C15,Malignant neoplasm of oesophagus
29,1029,C16,Malignant neoplasm of stomach
30,1030,C18-C21,"Malignant neoplasm of colon, rectum and anus"
31,1031,C22,Malignant neoplasm of liver and intrahepatic bile ducts
32,1032,C25,Malignant neoplasm of pancreas
33,1033,C32,Malignant neoplasm of larynx
34,1034,C33-C34,"Malignant neoplasm of trachea, bronchus and lung"
35,1035,C43,Malignant melanoma of skin
36,1036,C50,Malignant neoplasm of breast
37,1037,C53,Malignant neoplasm of cervix uteri
38,1038,C54-C55,Malignant neoplasm of other and unspecified parts of uterus
39,1039,C56,Malignant neoplasm of ovary
40,1040,C61,Malignant neoplasm of prostate
41,1041,C67,Malignant neoplasm of bladder
42,1042,C70-C72,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
43,1043,C82-C85,Non-Hodgkin's lymphoma
44,1044,C90,Multiple myeloma and malignant plasma cell neoplasms
45,1045,C91-C95,Leukaemia
46,1046,"C17, C23-C24, C26-C31, C37-C41, C44-C49, C51-C52, C57-C60, C62-C66,C68-C69,C73-C81,C88,C96-C97",Remainder of malignant neoplasms
47,1047,D00-D48,Remainder of neoplasms 
48,1048,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
49,1049,D50-D64,Anaemias
50,1050,D65-D89,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
51,1051,E00-E88,"Endocrine, nutritional and metabolic diseases"
52,1052,E10-E14,Diabetes mellitus
53,1053,E40-E46,Malnutrition
54,1054,"E00-E07, E15-E34, E50-E88","Remainder of endocrine, nutritional and metabolic diseases"
55,1055,F01-F99,Mental and behavioural disorders
56,1056,F10-F19,Mental and behavioural disorders due to psychoactive substance use
57,1057,F20-F99,Remainder of mental and behavioural disorders
58,1058,G00-G98,Diseases of the nervous system
59,1059,"G00, G03",Meningitis
60,1060,G30,Alzheimer's disease
61,1061,"G04-G25, G31-G98",Remainder of diseases of the nervous system
62,1062,H00-H57,Diseases of the eye and adnexa
63,1063,H60-H93,Diseases of the ear and mastoid process
64,1064,I00-I99,Diseases of the circulatory system
65,1065,I00-I09,Acute rheumatic fever and chronic rheumatic heart diseases
66,1066,I10-I13,Hypertensive diseases
67,1067,I20-I25,Ischaemic heart diseases
68,1068,I26-I51,Other heart diseases
69,1069,I60-I69,Cerebrovascular diseases
70,1070,I70,Atherosclerosis
71,1071,I71-I99,Remainder of diseases of the circulatory system
72,1072,J00-J98,Diseases of the respiratory system
73,1073,J10-J11,Influenza
74,1074,J12-J18,Pneumonia
75,1075,J20-J22,Other acute lower respiratory infections
76,1076,J40-J47,Chronic lower respiratory diseases
77,1077,"J00-J06, J30-J39, J60-J98",Remainder of diseases of the respiratory system
78,1078,K00-K92,Diseases of the digestive system
79,1079,K25-K27,Gastric and duodenal ulcer
80,1080,K70-K76,Diseases of the liver
81,1081,"K00-K22, K28-K66, K80-K92",Remainder of diseases of the digestive system
82,1082,L00-L98,Diseases of the skin and subcutaneous tissue
83,1083,M00-M99,Diseases of the musculoskeletal system and connective tissue
84,1084,N00-N98,Diseases of the genitourinary system
85,1085,N00-N15,Glomerular and renal tubulo-interstitial diseases
86,1086,N17-N98,Remainder of diseases of the genitourinary system
87,1087,O00-O99,"Pregnancy, childbirth and the puerperium"
88,1088,O00-O07,Pregnancy with abortive outcome
89,1089,O10-O92,Other direct obstetric deaths
90,1090,O98-O99,Indirect obstetric deaths
91,1091,O95-O97,"Remainder of pregnancy, childbirth and the puerperium"
92,1092,P00-P96,Certain conditions originating in the perinatal period
93,1093,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities"
94,1094,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
95,1095,V01-Y89,External causes of morbidity and mortality
96,1096,V01-V99,Transport accidents
97,1097,W00-W19,Falls
98,1098,W65-W74,Accidental drowning and submersion
99,1099,X00-X09,"Exposure to smoke, fire and flames"
100,1100,X40-X49,Accidental poisoning by and exposure to noxious substances
101,1101,X60-X84,Intentional self-harm
102,1102,X85-Y09,Assault
103,1103,"W20-W64, W75-W99, X10-X39, X50-X59, Y10-Y89",All other external causes
104,A00,,Cholera
105,A01,,Other intestinal infectious diseases
106,A02,,Other intestinal infectious diseases
107,A03,,Other intestinal infectious diseases
108,A04,,Other intestinal infectious diseases
109,A05,,Other intestinal infectious diseases
110,A06,,Other intestinal infectious diseases
111,A07,,Other intestinal infectious diseases
112,A08,,Other intestinal infectious diseases
113,A09,,Diarrhoea and gastroenteritis of presumed infectious origin
114,A10,,Certain infectious and parasitic diseases
115,A11,,Certain infectious and parasitic diseases
116,A12,,Certain infectious and parasitic diseases
117,A13,,Certain infectious and parasitic diseases
118,A14,,Certain infectious and parasitic diseases
119,A15,,Respiratory tuberculosis
120,A16,,Respiratory tuberculosis
121,A17,,Other tuberculosis
122,A18,,Other tuberculosis
123,A19,,Other tuberculosis
124,A20,,Plague
125,A21,,Remainder of certain infectious and parasitic diseases
126,A22,,Remainder of certain infectious and parasitic diseases
127,A23,,Remainder of certain infectious and parasitic diseases
128,A24,,Remainder of certain infectious and parasitic diseases
129,A25,,Remainder of certain infectious and parasitic diseases
130,A26,,Remainder of certain infectious and parasitic diseases
131,A27,,Remainder of certain infectious and parasitic diseases
132,A28,,Remainder of certain infectious and parasitic diseases
133,A29,,Remainder of certain infectious and parasitic diseases
134,A30,,Remainder of certain infectious and parasitic diseases
135,A31,,Remainder of certain infectious and parasitic diseases
136,A32,,Remainder of certain infectious and parasitic diseases
137,A33,,Tetanus
138,A34,,Tetanus
139,A35,,Tetanus
140,A36,,Diphtheria
141,A37,,Whooping cough
142,A38,,Remainder of certain infectious and parasitic diseases
143,A39,,Meningococcal infection
144,A40,,Septicaemia
145,A41,,Septicaemia
146,A42,,Remainder of certain infectious and parasitic diseases
147,A43,,Remainder of certain infectious and parasitic diseases
148,A44,,Remainder of certain infectious and parasitic diseases
149,A45,,Remainder of certain infectious and parasitic diseases
150,A46,,Remainder of certain infectious and parasitic diseases
151,A47,,Remainder of certain infectious and parasitic diseases
152,A48,,Remainder of certain infectious and parasitic diseases
153,A49,,Remainder of certain infectious and parasitic diseases
154,A50,,Infections with a predominantly sexual mode of transmission
155,A51,,Infections with a predominantly sexual mode of transmission
156,A52,,Infections with a predominantly sexual mode of transmission
157,A53,,Infections with a predominantly sexual mode of transmission
158,A54,,Infections with a predominantly sexual mode of transmission
159,A55,,Infections with a predominantly sexual mode of transmission
160,A56,,Infections with a predominantly sexual mode of transmission
161,A57,,Infections with a predominantly sexual mode of transmission
162,A58,,Infections with a predominantly sexual mode of transmission
163,A59,,Infections with a predominantly sexual mode of transmission
164,A60,,Infections with a predominantly sexual mode of transmission
165,A61,,Infections with a predominantly sexual mode of transmission
166,A62,,Infections with a predominantly sexual mode of transmission
167,A63,,Infections with a predominantly sexual mode of transmission
168,A64,,Infections with a predominantly sexual mode of transmission
169,A65,,Remainder of certain infectious and parasitic diseases
170,A66,,Remainder of certain infectious and parasitic diseases
171,A67,,Remainder of certain infectious and parasitic diseases
172,A68,,Remainder of certain infectious and parasitic diseases
173,A69,,Remainder of certain infectious and parasitic diseases
174,A70,,Remainder of certain infectious and parasitic diseases
175,A71,,Remainder of certain infectious and parasitic diseases
176,A72,,Remainder of certain infectious and parasitic diseases
177,A73,,Remainder of certain infectious and parasitic diseases
178,A74,,Remainder of certain infectious and parasitic diseases
179,A75,,Remainder of certain infectious and parasitic diseases
180,A76,,Remainder of certain infectious and parasitic diseases
181,A77,,Remainder of certain infectious and parasitic diseases
182,A78,,Remainder of certain infectious and parasitic diseases
183,A79,,Remainder of certain infectious and parasitic diseases
184,A80,,Acute poliomyelitis
185,A81,,Remainder of certain infectious and parasitic diseases
186,A82,,Rabies
187,A83,,Remainder of certain infectious and parasitic diseases
188,A84,,Remainder of certain infectious and parasitic diseases
189,A85,,Remainder of certain infectious and parasitic diseases
190,A86,,Remainder of certain infectious and parasitic diseases
191,A87,,Remainder of certain infectious and parasitic diseases
192,A88,,Remainder of certain infectious and parasitic diseases
193,A89,,Remainder of certain infectious and parasitic diseases
194,A90,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
195,A91,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
196,A92,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
